country,company,wiki_url
India,ITC Limited,https://en.wikipedia.org/wiki/ITC_Limited
India,Karnataka Milk Federation,https://en.wikipedia.org/wiki/Karnataka_Milk_Federation
India,Kerala Co-operative Milk Marketing Federation,https://en.wikipedia.org/wiki/Kerala_Co-operative_Milk_Marketing_Federation
India,Marico,https://en.wikipedia.org/wiki/Marico
India,Meat Products of India,https://en.wikipedia.org/wiki/Meat_Products_of_India
India,Mother Dairy,https://en.wikipedia.org/wiki/Mother_Dairy
India,Orissa State Cooperative Milk Producers' Federation,https://en.wikipedia.org/wiki/Orissa_State_Cooperative_Milk_Producers%27_Federation
India,Parle Agro,https://en.wikipedia.org/wiki/Parle_Agro
India,Parle Products,https://en.wikipedia.org/wiki/Parle_Products
India,Patanjali Ayurved,https://en.wikipedia.org/wiki/Patanjali_Ayurved
India,Ravi Foods Private Limited,https://en.wikipedia.org/w/index.php?title=Ravi_Foods_Private_Limited&action=edit&redlink=1
India,Tata Consumer Products,https://en.wikipedia.org/wiki/Tata_Consumer_Products
Indonesia,ABC Foods,https://en.wikipedia.org/wiki/ABC_(food)
Indonesia,Delta Djakarta,https://en.wikipedia.org/wiki/Delta_Djakarta
Indonesia,Greenfields,https://en.wikipedia.org/wiki/Greenfields_(dairy_company)
Indonesia,Indofood,https://en.wikipedia.org/wiki/Indofood
Indonesia,Japfa,https://en.wikipedia.org/wiki/Japfa
Indonesia,Kino Food,https://en.wikipedia.org/wiki/Kino_Indonesia
Indonesia,Mayora Indah,https://en.wikipedia.org/wiki/Mayora_Indah
Indonesia,Multi Bintang Indonesia,https://en.wikipedia.org/wiki/Bintang_Beer
Indonesia,My Kopi-O!,https://en.wikipedia.org/wiki/My_Kopi-O!
Indonesia,Roti Bunz,https://en.wikipedia.org/wiki/Roti_Bunz
Indonesia,Sariwangi,https://en.wikipedia.org/wiki/Sariwangi
Indonesia,Siantar Top,https://en.wikipedia.org/wiki/Siantar_Top
Indonesia,Sido Muncul,https://en.wikipedia.org/wiki/Sido_Muncul
Indonesia,Sosro,https://en.wikipedia.org/wiki/Teh_botol
Indonesia,Wings Food,https://en.wikipedia.org/wiki/Wings_(Indonesian_company)
Indonesia,Yupi,https://en.wikipedia.org/wiki/Yupi_(confectioner)
Ireland,Abbey Cheese Company,https://en.wikipedia.org/wiki/Abbey_Cheese_Company
Ireland,Ardsallagh Goat Farm,https://en.wikipedia.org/wiki/Ardsallagh_Goat_Farm
Ireland,Barry's Tea,https://en.wikipedia.org/wiki/Barry%27s_Tea
Ireland,Béal Organic Cheese,https://en.wikipedia.org/wiki/B%C3%A9al_Organic_Cheese
Ireland,Bewley's,https://en.wikipedia.org/wiki/Bewley%27s
Ireland,Bluebell Falls,https://en.wikipedia.org/wiki/Bluebell_Falls
Ireland,Burren Smokehouse,https://en.wikipedia.org/wiki/Burren_Smokehouse
Ireland,Butlers Chocolates,https://en.wikipedia.org/wiki/Butlers_Chocolates
Ireland,C&C Group,https://en.wikipedia.org/wiki/C%26C_Group
Ireland,Cahill's Farm Cheese,https://en.wikipedia.org/wiki/Cahill%27s_Farm_Cheese
Ireland,Carlow Brewing Company,https://en.wikipedia.org/wiki/Carlow_Brewing_Company
