country,company,wiki_url,official_sites,possible_official_sites,status_note,company_summary
Austria,Agrana,https://en.wikipedia.org/wiki/Agrana,https://www.agrana.com/en/,,Confirmed,"The Agrana Group is a food company based in Vienna that produces sugar, starch, fruit preparation, juice concentrate and ethanol fuel. Agrana is mainly supplying to international food industry, with some minor end customer business. A known brand is Wiener Zucker - with this name products like sugar..."
Austria,Brauerei Ottakringer,https://en.wikipedia.org/wiki/Brauerei_Ottakringer,http://www.ottakringer.at,,Confirmed,"Ottakringer (German pronunciation: ⓘ) is the last large brewery remaining in Vienna, Austria, and is located in Ottakring, the 16th district of Vienna."
Austria,Do & Co,https://en.wikipedia.org/wiki/Do_%26_Co,http://www.doco.com,,Confirmed,"DO & CO Aktiengesellschaft is an Austrian catering company, headquartered in Vienna. It is active in segments such as airline catering, train catering, and international events catering. The company also provides services through its restaurants, bars, lounges, and hotels. In 1998 DO & CO was listed..."
Austria,Julius Meinl,https://en.wikipedia.org/wiki/Julius_Meinl,https://juliusmeinl.com/,,Confirmed,"Julius Meinl International (German: Julius Meinl AG, Meinl-Gruppe), also known simply as Julius Meinl, is an Austrian manufacturer and retailer of coffee, gourmet foods and other grocery products. The company is based in Vienna, Austria, and it is named after the founder, Julius Meinl I."
Austria,Manner,https://en.wikipedia.org/wiki/Manner_(confectionery),,https://www.manner.com/,Potential,"Manner (German pronunciation: ⓘ) is a line of confectionery from the Austrian conglomerate Josef Manner & Comp AG. The corporation, founded in 1890, produces a wide assortment of confectionery products. These include wafers, long-life confectionery, chocolate-based confectionery, sweets, cocoa and a..."
Austria,Pez,https://en.wikipedia.org/wiki/Pez,https://www.pez.at,,Confirmed,"Pez (English: /pɛz/, German: ; stylised in all caps; from German Pfefferminz, meaning ""peppermint"") is the brand name of an Austrian candy and associated manual candy dispensers. The candy is a pressed, dry, straight-edged, curved-corner block 15 mm (5⁄8 inch) long, 8 mm (5⁄16 inch) wide and 5 mm (3..."
Austria,Rauch,https://en.wikipedia.org/wiki/Rauch_(company),https://www.rauch.cc/,,Confirmed,"Rauch Fruchtsäfte GmbH & Co OG is an Austrian multinational beverage company based in Rankweil, Austria. It was founded in 1919 by Franz Rauch and has remained an Austrian family business for four generations. The Rauch brand is particularly known for producing a range of juices and nectars, isotoni..."
Austria,Red Bull GmbH,https://en.wikipedia.org/wiki/Red_Bull_GmbH,http://www.redbull.com,,Confirmed,"Red Bull GmbH (German pronunciation: ) is an Austrian multinational private conglomerate company that created the Red Bull range of energy drinks. It is also known for its wide range of sporting events and teams. The headquarters of Red Bull GmbH are located in Fuschl am See, Salzburg."
Azerbaijan,Bahra Biscuit Factory,https://en.wikipedia.org/wiki/Bahra_Biscuit_Factory,,https://web.archive.org/web/20140818143228/http://www.unikal.az/,Potential,"Bahra Biscuit Factory is a part of UNIKAL Foodstuff Production Company based in Baku, Azerbaijan."
Azerbaijan,Shollar water,https://en.wikipedia.org/wiki/Shollar_water,,,Manual Check Required,"Shollar water is bottled water from the Shollar spring in Şollar, Azerbaijan, or water pumped to the city of Baku from the Shollar spring."
Azerbaijan,Vinagro,https://en.wikipedia.org/wiki/Vinagro,,,Manual Check Required,"Vinagro is an alcoholic beverage producer in Azerbaijan established in March 2006. The company owns 537 hectares of vineyards growing various sorts of local and European grapes. Red varieties such as Merlot, Cabernet Sauvignon, Prima, Saperavi, Hamburg Muscardin, Madrasa, Shirvanshahi and white vari..."
Bangladesh,Kazi Farms Group,https://en.wikipedia.org/wiki/Kazi_Farms_Group,,,Manual Check Required,"Kazi Farms Group is a group of businesses in Bangladesh. Kazi Zahedul Hasan, the managing director, was awarded Business Person of the Year for 2004 by The Daily Star (Bangladesh)."
Bangladesh,Meghna Group of Industries,https://en.wikipedia.org/wiki/Meghna_Group_of_Industries,,,Manual Check Required,"Meghna Group of Industries (MGI; Bengali: মেঘনা গ্রুপ অব ইন্ডাস্ট্রিজ) is a Bangladeshi industrial conglomerate. It has business interests in chemicals, cement, consumer products, real estate, insurance, securities, and utilities, among others."
